 Alternative                   , Attribute           , Parameter                                                        ,   Value ,   St-Err ,   P-value ,   T-value 
 Disposable Sheet              , Income              ," 7,000,000 KRW – 7,999,999 KRW                                    ",-0.064,0.129,0.619,-0.5
 Disposable Sheet              , Income              ," 8,000,000 KRW – 8,999,999 KRW                                    ",-0.099,0.126,0.434,-0.78
 Disposable Sheet              , Income              ," 5,000,000 KRW – 5,999,999 KRW                                    ",-0.115,0.115,0.318,-1
 Disposable Sheet              , Income              ," 2,000,000 KRW – 2,999,999 KRW                                    ",-0.162,0.116,0.163,-1.4
 Disposable Sheet              , Income              ," 9,000,000 KRW – 9,999,999 KRW                                    ",-0.234,0.148,0.114,-1.58
 Disposable Sheet              , Income              ," 10,000,000 KRW and above                                         ",-0.041,0.143,0.773,-0.29
 Disposable Sheet              , Decision_Maker      , I sometimes decide                                               ,-0.046,0.184,0.802,-0.25
 Disposable Sheet              , Brand often brought , 3M                                                               ,0.205,0.191,0.283,1.07
 Disposable Sheet              , Brand often brought , Scotch-Brite by 3M                                               ,0.162,0.18,0.369,0.9
 Disposable Sheet              , Brand often brought , Cleanwrap                                                        ,0.398,0.247,0.107,1.61
 Disposable Sheet              , Brand often brought , Daiso                                                            ,0.065,0.18,0.72,0.36
 Disposable Sheet              , Brand often brought , Kitchen-Art                                                      ,0.129,0.285,0.651,0.45
 Disposable Sheet              , Brand often brought , Scrub daddy                                                      ,-0.049,0.225,0.829,-0.22
 Disposable Sheet              , Brand often brought , No Brand                                                         ,0.27,0.248,0.275,1.09
 Disposable Sheet              , Brand often brought , Komax                                                            ,0.142,0.305,0.642,0.46
 Disposable Sheet              , Brand often brought , Atomi                                                            ,0.455,0.278,0.102,1.64
 Disposable Sheet              , Brand often brought , Trista (formerly Byulpyo                                         ,-0.034,0.315,0.914,-0.11
 Disposable Sheet              , Brand often brought , Scott (Yuhan-Kimberly                                            ,-0.012,0.229,0.958,-0.05
